#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Water
lava                                              (minecraft:lava)                                                                 = Lava
iron                                              (tconstruct:molten_iron)                                                         = Molten Iron
gold                                              (tconstruct:molten_gold)                                                         = Molten Gold
pigiron                                           (tconstruct:molten_pigiron)                                                      = Molten Pigiron
cobalt                                            (tconstruct:molten_cobalt)                                                       = Molten Cobalt
ardite                                            (tconstruct:molten_ardite)                                                       = Molten Ardite
manyullyn                                         (tconstruct:molten_manyullyn)                                                    = Molten Manyullyn
knightslime                                       (tconstruct:molten_knightslime)                                                  = Molten Knightslime
alubrass                                          (tconstruct:molten_alubrass)                                                     = Molten Aluminum Brass
brass                                             (tconstruct:molten_brass)                                                        = Molten Brass
copper                                            (tconstruct:molten_copper)                                                       = Molten Copper
tin                                               (tconstruct:molten_tin)                                                          = Molten Tin
bronze                                            (tconstruct:molten_bronze)                                                       = Molten Bronze
zinc                                              (tconstruct:molten_zinc)                                                         = Molten Zinc
lead                                              (tconstruct:molten_lead)                                                         = Molten Lead
nickel                                            (tconstruct:molten_nickel)                                                       = Molten Nickel
silver                                            (tconstruct:molten_silver)                                                       = Molten Silver
electrum                                          (tconstruct:molten_electrum)                                                     = Molten Electrum
steel                                             (tconstruct:molten_steel)                                                        = Molten Steel
aluminum                                          (tconstruct:molten_aluminum)                                                     = Molten Aluminum
liquidhydrogen                                    ([no block])                                                                     = Liquid Hydrogen
liquidoxygen                                      ([no block])                                                                     = Liquid Oxygen
liquidchlorine                                    ([no block])                                                                     = Liquid Chlorine
liquidsulfurdioxide                               ([no block])                                                                     = Liquid Sulfur Dioxide
liquidsulfurtrioxide                              ([no block])                                                                     = Liquid Sulfur Trioxide
sulfuricacid                                      ([no block])                                                                     = Sulfuric Acid
liquidhydrogenchloride                            ([no block])                                                                     = Liquid Hydrogen Chloride
liquidethene                                      ([no block])                                                                     = Liquid Ethylene
liquidsodium                                      ([no block])                                                                     = Liquid Sodium
brine                                             ([no block])                                                                     = Brine
liquiddeuterium                                   ([no block])                                                                     = Liquid Deuterium
liquidtritium                                     ([no block])                                                                     = Liquid Tritium
liquidfusionfuel                                  ([no block])                                                                     = Liquid D-T Fuel
liquidlithium                                     ([no block])                                                                     = Liquid Lithium
heavywater                                        ([no block])                                                                     = Heavy Water
steam                                             (advgenerators:steam)                                                            = Steam
liquidcoralium                                    (abyssalcraft:cwater)                                                            = Liquid Coralium
liquidantimatter                                  (abyssalcraft:antiwater)                                                         = Liquid Antimatter
sand                                              (biomesoplenty:sand)                                                             = Quicksand
honey                                             (biomesoplenty:honey)                                                            = Honey
blood                                             (biomesoplenty:blood)                                                            = Blood
poison                                            (biomesoplenty:poison)                                                           = Poison
hot_spring_water                                  (biomesoplenty:hot_spring_water)                                                 = Hot Spring Water
slop                                              (animania:slop)                                                                  = Slop
milk_holstein                                     (animania:milk_holstein)                                                         = Holstein Milk
milk_friesian                                     (animania:milk_friesian)                                                         = Friesian Milk
milk_jersey                                       (animania:milk_jersey)                                                           = Jersey Milk
milk_goat                                         (animania:milk_goat)                                                             = Goat Milk
milk_sheep                                        (animania:milk_sheep)                                                            = Sheep Milk
animania_honey                                    (animania:honey)                                                                 = Honey
creosote                                          (immersiveengineering:fluidcreosote)                                             = Creosote Oil
coal                                              ([no block])                                                                     = Liquifacted Coal
crude_oil                                         (thermalfoundation:fluid_crude_oil)                                              = Crude Oil
refined_oil                                       ([no block])                                                                     = Naphtha
refined_fuel                                      ([no block])                                                                     = Refined Fuel
sap                                               ([no block])                                                                     = Sap
syrup                                             ([no block])                                                                     = Syrup
resin                                             ([no block])                                                                     = Resin
tree_oil                                          ([no block])                                                                     = Tree Oil
seed_oil                                          ([no block])                                                                     = Seed Oil
biocrude                                          ([no block])                                                                     = Biocrude
refined_biofuel                                   ([no block])                                                                     = Grassoline
mushroom_stew                                     ([no block])                                                                     = Mushroom Stew
experience                                        ([no block])                                                                     = Essence of Knowledge
potion                                            ([no block])                                                                     = Potion
potion_splash                                     ([no block])                                                                     = Splash Potion
potion_lingering                                  ([no block])                                                                     = Lingering Potion
redstone                                          (thermalfoundation:fluid_redstone)                                               = Destabilized Redstone
glowstone                                         (thermalfoundation:fluid_glowstone)                                              = Energized Glowstone
ender                                             (thermalfoundation:fluid_ender)                                                  = Resonant Ender
pyrotheum                                         (thermalfoundation:fluid_pyrotheum)                                              = Blazing Pyrotheum
cryotheum                                         (thermalfoundation:fluid_cryotheum)                                              = Gelid Cryotheum
aerotheum                                         (thermalfoundation:fluid_aerotheum)                                              = Zephyrean Aerotheum
petrotheum                                        (thermalfoundation:fluid_petrotheum)                                             = Tectonic Petrotheum
mana                                              (thermalfoundation:fluid_mana)                                                   = Primal Mana
platinum                                          ([no block])                                                                     = Molten Platinum
iridium                                           ([no block])                                                                     = Molten Iridium
invar                                             ([no block])                                                                     = Molten Invar
constantan                                        (immersiveengineering:molten_constantan)                                         = Molten Constantan
signalum                                          ([no block])                                                                     = Molten Signalum
lumium                                            ([no block])                                                                     = Molten Lumium
enderium                                          ([no block])                                                                     = Molten Enderium
electrical_steel                                  (enderio:block_fluid_electrical_steel)                                           = Molten Electrical Steel
energetic_alloy                                   (enderio:block_fluid_energetic_alloy)                                            = Molten Energetic Alloy
vibrant_alloy                                     (enderio:block_fluid_vibrant_alloy)                                              = Molten Vibrant Alloy
redstone_alloy                                    (enderio:block_fluid_redstone_alloy)                                             = Molten Redstone Alloy
conductive_iron                                   (enderio:block_fluid_conductive_iron)                                            = Molten Conductive Iron
pulsating_iron                                    (enderio:block_fluid_pulsating_iron)                                             = Molten Pulsating Iron
dark_steel                                        (enderio:block_fluid_dark_steel)                                                 = Molten Dark Steel
soularium                                         (enderio:block_fluid_soularium)                                                  = Molten Soularium
end_steel                                         (enderio:block_fluid_end_steel)                                                  = Molten End Steel
construction_alloy                                (enderio:block_fluid_construction_alloy)                                         = Molten Iron Alloy
moltenabyssalnite                                 (acintegration:moltenabyssalnite)                                                = Molten Abyssalnite
moltenrefinedcoralium                             (acintegration:moltencoralium)                                                   = Molten Refined Coralium
moltendreadium                                    (acintegration:moltendreadium)                                                   = Molten Dreadium
fluidberylium                                     (techreborn:techreborn_techreborn.berylium)                                      = Beryllium
fluidcalcium                                      (techreborn:techreborn_techreborn.calcium)                                       = Calcium
fluidcalciumcarbonate                             (techreborn:techreborn_techreborn.calciumcarbonate)                              = Calciumcarbonate
fluidchlorite                                     (techreborn:techreborn_techreborn.chlorite)                                      = Chlorite
fluiddeuterium                                    (techreborn:techreborn_techreborn.deuterium)                                     = Deuterium
fluidglyceryl                                     (techreborn:techreborn_techreborn.glyceryl)                                      = Glyceryl
fluidhelium                                       (techreborn:techreborn_techreborn.helium)                                        = Helium
fluidhelium3                                      (techreborn:techreborn_techreborn.helium3)                                       = Helium3
fluidheliumplasma                                 (techreborn:techreborn_techreborn.heliumplasma)                                  = Heliumplasma
fluidhydrogen                                     (techreborn:techreborn_techreborn.hydrogen)                                      = Hydrogen
fluidlithium                                      (techreborn:techreborn_techreborn.lithium)                                       = Lithium
fluidmercury                                      (techreborn:techreborn_techreborn.mercury)                                       = Mercury
fluidmethane                                      (techreborn:techreborn_techreborn.methane)                                       = Methane
fluidnitrocoalfuel                                (techreborn:techreborn_techreborn.nitrocoalfuel)                                 = Nitrocoalfuel
fluidnitrofuel                                    (techreborn:techreborn_techreborn.nitrofuel)                                     = Nitrofuel
fluidnitrogen                                     (techreborn:techreborn_techreborn.nitrogen)                                      = Nitrogen
fluidnitrogendioxide                              (techreborn:techreborn_techreborn.nitrogendioxide)                               = Nitrogendioxide
fluidpotassium                                    (techreborn:techreborn_techreborn.potassium)                                     = Potassium
fluidsilicon                                      (techreborn:techreborn_techreborn.silicon)                                       = Silicon
fluidsodium                                       (techreborn:techreborn_techreborn.sodium)                                        = Sodium
fluidsodiumpersulfate                             (techreborn:techreborn_techreborn.sodiumpersulfate)                              = Sodiumpersulfate
fluidtritium                                      (techreborn:techreborn_techreborn.tritium)                                       = Tritium
fluidwolframium                                   (techreborn:techreborn_techreborn.wolframium)                                    = Wolframium
fluidcarbon                                       (techreborn:techreborn_techreborn.carbon)                                        = Carbon
fluidcarbonfiber                                  (techreborn:techreborn_techreborn.carbonfiber)                                   = Carbon Fiber
fluidnitrocarbon                                  (techreborn:techreborn_techreborn.nitrocarbon)                                   = Nitrocarbon
fluidsulfur                                       (techreborn:techreborn_techreborn.sulfur)                                        = Sulfur
fluidsodiumsulfide                                (techreborn:techreborn_techreborn.sodiumsulfide)                                 = Sodium Sulfide
fluiddiesel                                       (techreborn:techreborn_techreborn.diesel)                                        = Diesel
fluidnitrodiesel                                  (techreborn:techreborn_techreborn.nitrodiesel)                                   = Nitrodiesel
fluidoil                                          (techreborn:techreborn_techreborn.oil)                                           = Oil
fluidsulfuricacid                                 (techreborn:techreborn_techreborn.sulfuricacid)                                  = Sulfuric Acid
fluidcompressedair                                (techreborn:techreborn_techreborn.compressedair)                                 = Compressed Air
fluidelectrolyzedwater                            (techreborn:techreborn_techreborn.electrolyzedwater)                             = Electrolyzed Water
fluidbiofuel                                      (techreborn:techreborn_techreborn.biofuel)                                       = Biofuel
purified_water                                    (toughasnails:purified_water)                                                    = Purified Water
bio.ethanol                                       (forestry:fluid.bio.ethanol)                                                     = Ethanol
biomass                                           (forestry:fluid.biomass)                                                         = Biomass
glass                                             (forestry:fluid.glass)                                                           = Liquid Glass
for.honey                                         (forestry:fluid.for.honey)                                                       = Honey
ice                                               (forestry:fluid.ice)                                                             = Crushed Ice
juice                                             (forestry:fluid.juice)                                                           = Fruit Juice
milk                                              (forestry:fluid.milk)                                                            = Milk
seed.oil                                          (forestry:fluid.seed.oil)                                                        = Seed Oil
short.mead                                        (forestry:fluid.short.mead)                                                      = Short Mead
binnie.growth.medium                              (genetics:binnie.growth.medium)                                                  = Growth Medium
binnie.bacteria                                   (genetics:binnie.bacteria)                                                       = Bacteria
binnie.bacteria.poly                              (genetics:binnie.bacteria.poly)                                                  = Polymerising Bacteria
binnie.dna.raw                                    (genetics:binnie.dna.raw)                                                        = Raw DNA
binnie.bacteria.vector                            (genetics:binnie.bacteria.vector)                                                = Bacteria Vector
binnie.sap                                        (extratrees:binnie.sap)                                                          = Sap
binnie.resin                                      (extratrees:binnie.resin)                                                        = Resin
binnie.latex                                      (extratrees:binnie.latex)                                                        = Latex
binnie.turpentine                                 (extratrees:binnie.turpentine)                                                   = Turpentine
binnie.juice.apple                                (extratrees:binnie.juice.apple)                                                  = Apple Juice
binnie.juice.apricot                              (extratrees:binnie.juice.apricot)                                                = Apricot Juice
binnie.juice.banana                               (extratrees:binnie.juice.banana)                                                 = Banana Juice
binnie.juice.cherry                               (extratrees:binnie.juice.cherry)                                                 = Cherry Juice
binnie.juice.elderberry                           (extratrees:binnie.juice.elderberry)                                             = Elderberry Juice
binnie.juice.lemon                                (extratrees:binnie.juice.lemon)                                                  = Lemon Juice
binnie.juice.lime                                 (extratrees:binnie.juice.lime)                                                   = Lime Juice
binnie.juice.orange                               (extratrees:binnie.juice.orange)                                                 = Orange Juice
binnie.juice.peach                                (extratrees:binnie.juice.peach)                                                  = Peach Juice
binnie.juice.plum                                 (extratrees:binnie.juice.plum)                                                   = Plum Juice
binnie.juice.carrot                               (extratrees:binnie.juice.carrot)                                                 = Carrot Juice
binnie.juice.tomato                               (extratrees:binnie.juice.tomato)                                                 = Tomato Juice
binnie.juice.cranberry                            (extratrees:binnie.juice.cranberry)                                              = Cranberry Juice
binnie.juice.grapefruit                           (extratrees:binnie.juice.grapefruit)                                             = Grapefruit Juice
binnie.juice.olive                                (extratrees:binnie.juice.olive)                                                  = Olive Oil
binnie.juice.pineapple                            (extratrees:binnie.juice.pineapple)                                              = Pineapple Juice
binnie.juice.pear                                 (extratrees:binnie.juice.pear)                                                   = Pear Juice
binnie.juice.white.grape                          (extratrees:binnie.juice.white.grape)                                            = White Grape Juice
binnie.juice.red.grape                            (extratrees:binnie.juice.red.grape)                                              = Red Grape Juice
binnie.cider.apple                                (extratrees:binnie.cider.apple)                                                  = Cider
binnie.wine.apricot                               (extratrees:binnie.wine.apricot)                                                 = Apricot Wine
binnie.wine.banana                                (extratrees:binnie.wine.banana)                                                  = Banana Wine
binnie.wine.cherry                                (extratrees:binnie.wine.cherry)                                                  = Cherry Wine
binnie.wine.elderberry                            (extratrees:binnie.wine.elderberry)                                              = Elderberry Wine
binnie.cider.peach                                (extratrees:binnie.cider.peach)                                                  = Peach Cider
binnie.ciderpear                                  (extratrees:binnie.ciderpear)                                                    = Pear Cider
binnie.wine.plum                                  (extratrees:binnie.wine.plum)                                                    = Plum Wine
binnie.wine.carrot                                (extratrees:binnie.wine.carrot)                                                  = Carrot Wine
binnie.wine.white                                 (extratrees:binnie.wine.white)                                                   = White Wine
binnie.wine.red                                   (extratrees:binnie.wine.red)                                                     = Red Wine
binnie.wine.sparkling                             (extratrees:binnie.wine.sparkling)                                               = Sparkling Wine
